review_id,entity_id,date,time,customer_review,experience_driver_not_normalised,entity_name,theme,context,feedback_type,emotion,customer_journey,customer_journey_stage,interaction_moment,opportunity_stream,customer_effort_score,ou_name,keywords,semantic_action_statement,matters,stream_justification,behavioral_impact,emotion_primary,emotion_specific,canonical_theme,canonical_category,canonical_subcategory,experience_driver,theme_match_score,category_match_score,subcategory_match_score
22,22.1,2025-06-11,10:07:38,Since the date of expiry of milk cartons was near so your agent timely informed me through call and asked if I still want to order or not. I liked this transparency.,Customer Support → Proactive Communication,Expiry Date Notification,Customer Engagement,"Customer was informed about the near expiry date of milk cartons through a proactive call, allowing them to decide on the order.",Compliment,Appreciation – Grateful,Order & Fulfillment,Pre-Order Confirmation,during a proactive call about expiry dates,Amplify,2,Expiry Date Notification – Compliment – Amplify,"['expiry date', 'proactive call', 'transparency', 'customer decision']","SECTION 1: THE CUSTOMER REALITY
  The customer gave a Compliment that during a proactive call about expiry dates, they were informed about the near expiry date of milk cartons, allowing them to decide on the order

  SECTION 2: THE STRATEGIC RESPONSE
  We need to Amplify → Customer Support → Proactive Communication to address proactive expiry date notifications that enhance transparency and customer trust",proactive expiry date notifications that enhance transparency and customer trust,"This proactive communication builds trust and transparency, reinforcing customer satisfaction and loyalty.","Strengthen customer trust, enhance transparency, and encourage repeat business through proactive engagement.",Appreciation,Grateful,Customer Engagement,Customer Support,Proactive Communication,Customer Support → Proactive Communication,100,100,100
23,23.1,2025-06-05,10:07:38,I got Rs 100 less for my 5000 note. Order was late although since morning it was told it will reach in an hour.,Order & Payment → Payment Discrepancy,Cash Payment Shortage,Payment Integrity,Customer received Rs 100 less than expected for a Rs 5000 note.,Complaint,Anger – Frustrated,Payment & Settlement,Cash Handling,during cash payment,Fix,6,Cash Payment Shortage – Complaint – Fix,"['payment discrepancy', 'cash shortage', 'Rs 100 less', '5000 note']","SECTION 1: THE CUSTOMER REALITY
  The customer submitted a Complaint that during cash payment, they received Rs 100 less for their 5000 note

  SECTION 2: THE STRATEGIC RESPONSE
  We need to Fix → Order & Payment → Payment Discrepancy to address cash payment shortages that lead to customer distrust",cash payment shortages that lead to customer distrust,This is a direct financial discrepancy that undermines trust and requires immediate correction to maintain payment integrity.,"Restore trust in cash transactions, ensure accurate payment handling, and prevent future discrepancies.",Anger,Frustrated,Payment Integrity,Order & Payment,Payment Discrepancy,Order & Payment → Payment Discrepancy,100,100,100
23,23.2,2025-06-05,10:07:38,I got Rs 100 less for my 5000 note. Order was late although since morning it was told it will reach in an hour.,Delivery & Fulfillment → Timeliness,Delayed Delivery,Delivery Reliability,Order was late despite being promised to arrive within an hour since morning.,Complaint,Agitation – Annoyed,Delivery & Fulfillment,Delivery Timing,when delivery was delayed beyond promised time,Fix,5,Delayed Delivery – Complaint – Fix,"['late delivery', 'timeliness', 'promised time', 'hour delay']","SECTION 1: THE CUSTOMER REALITY
  The customer submitted a Complaint that when delivery was delayed beyond promised time, it caused inconvenience

  SECTION 2: THE STRATEGIC RESPONSE
  We need to Fix → Delivery & Fulfillment → Timeliness to address late deliveries that disrupt customer plans",late deliveries that disrupt customer plans,"The delay in delivery breaks the service promise and causes customer inconvenience, necessitating immediate resolution to uphold delivery reliability.","Improve delivery accuracy, enhance customer satisfaction, and maintain service reliability.",Agitation,Annoyed,Delivery Reliability,Delivery & Fulfillment,Timeliness,Delivery & Fulfillment → Timeliness,100,100,100
24,24.1,2025-06-21,10:07:38,Ordered Item was not delivered and for another item the price was charged @ Rs 341.00 per Kg. instead of Rs. 148.00 per Kg.,Order Accuracy → Delivery Fulfillment,Ordered Item,Delivery & Fulfillment,Customer did not receive an ordered item and was overcharged for another item.,Complaint,Anger – Frustrated,Delivery & Fulfillment,Order Completion,upon receiving the order,Fix,6,Ordered Item – Complaint – Fix,"['not delivered', 'overcharged', 'price discrepancy', 'order fulfillment']","SECTION 1: THE CUSTOMER REALITY
  The customer submitted a Complaint about not receiving an ordered item and being overcharged for another item upon receiving the order

  SECTION 2: THE STRATEGIC RESPONSE
  We need to Fix → Order Accuracy → Delivery Fulfillment to address missing delivery and incorrect pricing that disrupt order accuracy",missing delivery and incorrect pricing that disrupt order accuracy,"This is a direct failure in order fulfillment and pricing accuracy, causing customer dissatisfaction and financial discrepancy. Immediate resolution is required to restore trust and correct billing errors.","Restore order fulfillment reliability, correct pricing errors, and prevent future billing discrepancies.",Anger,Frustrated,Delivery & Fulfillment,Order Accuracy,Item Fulfillment,Order Accuracy → Item Fulfillment,100,100,100
25,25.1,2025-05-04,10:07:38,The payment method is not appropriate and took me two days to get my card accepted in your payment system. When it got accepted still I received a call from your customer service that Metro has not received payment. Then after number of communications finally they received payment and made delivery.,Payment Experience → Payment Processing,Card Payment System,Order & Payment,"Customer experienced a two-day delay in card acceptance, followed by a customer service call indicating non-receipt of payment, requiring multiple communications to resolve.",Complaint,Agitation – Frustrated,Order & Payment,Payment Processing,during card payment acceptance and follow-up communication,Fix,6,Card Payment System – Complaint – Fix,"['payment method', 'card acceptance', 'customer service', 'payment delay', 'communication']","SECTION 1: THE CUSTOMER REALITY
  The customer submitted a Complaint about experiencing a two-day delay in card acceptance and subsequent communication issues during card payment acceptance and follow-up communication

  SECTION 2: THE STRATEGIC RESPONSE
  We need to Fix → Payment Experience → Payment Processing to address delayed card acceptance and payment confirmation that disrupts order fulfillment",delayed card acceptance and payment confirmation that disrupts order fulfillment,"This represents a critical failure in the payment processing flow, causing significant delay and customer frustration. Immediate resolution is required to restore trust and ensure seamless transactions.","Improve payment reliability, reduce transaction delays, and enhance customer satisfaction in the payment process.",Agitation,Frustrated,Order & Payment,Payment Experience,Payment Processing,Payment Experience → Payment Processing,100,100,100
26,26.1,2025-06-11,10:07:38,My last order was delivered after 4 days and was incomplete.,Delivery Experience → Timeliness,Order Delivery,Delivery & Fulfillment,Customer experienced a delayed delivery and received an incomplete order.,Complaint,Agitation – Frustrated,Delivery & Fulfillment,Delivery Completion,when the order was delivered after 4 days,Fix,6,Order Delivery – Complaint – Fix,"['delayed delivery', 'incomplete order', '4 days', 'frustration']","SECTION 1: THE CUSTOMER REALITY
  The customer submitted a Complaint that when the order was delivered after 4 days, it was incomplete

  SECTION 2: THE STRATEGIC RESPONSE
  We need to Fix → Delivery Experience → Timeliness to address delayed deliveries that result in incomplete orders",delayed deliveries that result in incomplete orders,"The delivery was significantly delayed and incomplete, causing customer dissatisfaction and requiring immediate resolution to restore service reliability.","Improve delivery timeliness, ensure order completeness, and enhance customer satisfaction.",Agitation,Frustrated,Delivery & Fulfillment,Delivery Experience,Timeliness,Delivery Experience → Timeliness,100,100,100
27,27.1,2025-05-08,10:07:38,Most of order delivered had shortage of items. Items shows online it's available and when order the courier person says it's not available. The app or web page should be updated not like customer actually realize at time when order received at door.,Product Availability → Real-Time Stock Visibility,Online Inventory System,Inventory Integrity,Customer experienced item shortages upon delivery despite online availability showing in stock.,Complaint,Agitation – Frustrated,Delivery & Fulfillment,Order Completion & Delivery,upon receiving the order at the door,Fix,6,Online Inventory System – Complaint – Fix,"['shortage', 'online availability', 'real-time update', 'delivery', 'frustration']","SECTION 1: THE CUSTOMER REALITY
  The customer submitted a Complaint about experiencing item shortages upon delivery despite online availability showing in stock when receiving the order at the door

  SECTION 2: THE STRATEGIC RESPONSE
  We need to Fix → Product Availability → Real-Time Stock Visibility to address inaccurate online stock visibility that leads to unexpected item shortages at delivery",inaccurate online stock visibility that leads to unexpected item shortages at delivery,"This is a direct failure of inventory integrity at a critical delivery moment, introducing friction, confusion, and emotional erosion. Fixing this restores purchase reliability and trust.","Reinstate confidence in real-time stock accuracy, reduce failed purchase attempts, and lower customer frustration at the point of delivery.",Agitation,Frustrated,Inventory Integrity,Product Availability,Real-Time Stock Visibility,Product Availability → Real-Time Stock Visibility,100,100,100
28,28.1,2025-07-10,10:07:38,Should add more product lines specially Pakistani Brands like Punjab Cash and Carry is doing. It was my first order but I was surprised on the service level you maintain. Order was delivered within 3 hours at my doorstep.,Product Variety → International Products,Pakistani Brands,Product & Selection,"Customer suggests adding more product lines, specifically Pakistani brands, to match competitors.",Suggestion,Appreciation – Interested,Product Exploration,Product Discovery,while considering product variety,Innovate,3,Pakistani Brands – Suggestion – Innovate,"['product lines', 'Pakistani brands', 'Punjab Cash and Carry', 'competitors']","SECTION 1: THE CUSTOMER REALITY
  The customer made a Suggestion that while considering product variety, they noted the need for more Pakistani brands to match competitors like Punjab Cash and Carry

  SECTION 2: THE STRATEGIC RESPONSE
  We need to Innovate → Product Variety → International Products to address the demand for more Pakistani brands that align with competitive offerings",demand for more Pakistani brands that align with competitive offerings,"The customer identifies a gap in product variety compared to competitors, suggesting an opportunity to expand international offerings.","Enhance product diversity, meet customer expectations for international brands, and strengthen competitive positioning.",Appreciation,Interested,Product & Selection,Product Variety,International Products,Product Variety → International Products,100,100,100
28,28.2,2025-07-10,10:07:38,Should add more product lines specially Pakistani Brands like Punjab Cash and Carry is doing. It was my first order but I was surprised on the service level you maintain. Order was delivered within 3 hours at my doorstep.,Delivery Experience → Timing,3-Hour Delivery,Delivery & Fulfillment,"Customer was surprised by the high service level, with the order delivered within 3 hours.",Compliment,Appreciation – Pleased,Delivery & Fulfillment,Delivery Completion,upon receiving the order,Amplify,2,3-Hour Delivery – Compliment – Amplify,"['first order', 'service level', '3-hour delivery', 'surprised']","SECTION 1: THE CUSTOMER REALITY
  The customer gave a Compliment that upon receiving the order, they were surprised by the high service level with delivery within 3 hours

  SECTION 2: THE STRATEGIC RESPONSE
  We need to Amplify → Delivery Experience → Timing to address the exceptional 3-hour delivery service that enhances customer satisfaction",exceptional 3-hour delivery service that enhances customer satisfaction,"The customer praises the delivery speed, indicating a strength that can be leveraged to enhance brand reputation and customer loyalty.","Reinforce fast delivery as a competitive advantage, increase customer satisfaction, and promote positive word-of-mouth.",Appreciation,Pleased,Delivery & Fulfillment,Delivery Experience,Timing,Delivery Experience → Timing,100,100,100
29,29.1,2025-06-17,10:07:38,"Complain: Putting a quantity limit on a grocery item like chicken is not professional at all, because of this I had to place 4 orders instead of 1 single order. Please fire the individual who makes these types of decisions.",Order & Payment → Order Quantity Limits,Chicken Quantity Restriction,Order Management,Customer was forced to place multiple orders due to a quantity limit on chicken.,Complaint,Anger – Frustrated,Order Placement,Order Configuration,when attempting to place a single order for chicken,Fix,6,Chicken Quantity Restriction – Complaint – Fix,"['quantity limit', 'multiple orders', 'chicken', 'frustration']","SECTION 1: THE CUSTOMER REALITY
  The customer submitted a Complaint about being forced to place multiple orders due to a quantity limit on chicken when attempting to place a single order

  SECTION 2: THE STRATEGIC RESPONSE
  We need to Fix → Order & Payment → Order Quantity Limits to address restrictive quantity limits that force customers to place multiple orders",restrictive quantity limits that force customers to place multiple orders,"The quantity limit on chicken creates unnecessary friction and complexity in the ordering process, leading to customer frustration and inefficiency. Addressing this will streamline order placement and improve customer satisfaction.","Simplify order process, reduce customer effort, and enhance overall shopping experience.",Anger,Frustrated,Order Management,Order & Payment,Order Quantity Limits,Order & Payment → Order Quantity Limits,100,100,100
30,30.1,2025-07-16,10:07:38,"I ordered a frozen item from Metro online. It was really fresh, delivered on time as mentioned in the received order. I really recommend Metro for online shopping, especially for groceries.",Delivery Experience → Timeliness,Scheduled Delivery,Delivery & Fulfillment,Customer received a fresh frozen item delivered on time as promised in the order confirmation.,Compliment,Adoration – Grateful,Delivery & Fulfillment,Delivery Completion,upon receiving the order,Amplify,1,Scheduled Delivery – Compliment – Amplify,"['fresh', 'on time', 'delivery', 'recommend', 'Metro']","SECTION 1: THE CUSTOMER REALITY
  The customer gave a Compliment about receiving a fresh frozen item delivered on time as promised in the order confirmation

  SECTION 2: THE STRATEGIC RESPONSE
  We need to Amplify → Delivery Experience → Timeliness to address timely deliveries that reinforce trust and satisfaction in online grocery shopping",timely deliveries that reinforce trust and satisfaction in online grocery shopping,"The delivery was executed flawlessly, creating a positive customer experience that strengthens brand loyalty and encourages repeat business.","Enhance customer trust, promote positive word-of-mouth, and solidify Metro's reputation for reliable delivery service.",Adoration,Grateful,Delivery & Fulfillment,Delivery Experience,Timeliness,Delivery Experience → Timeliness,100,100,100
31,31.1,2025-06-09,10:07:38,Kandhari Pomegranate delivered to me is of a very poor quality. Would request immediate replacement or refund of the amount paid.,Product Quality → Product Condition,Kandhari Pomegranate,Product & Selection,Customer received Kandhari Pomegranate of very poor quality and is requesting a replacement or refund.,Request,Agitation – Dissatisfied,Delivery & Fulfillment,Post-Delivery Evaluation,upon receiving the delivery,Fix,6,Kandhari Pomegranate – Request – Fix,"['poor quality', 'replacement', 'refund', 'Kandhari Pomegranate']","SECTION 1: THE CUSTOMER REALITY
  The customer made a Request for a replacement or refund upon receiving Kandhari Pomegranate of very poor quality

  SECTION 2: THE STRATEGIC RESPONSE
  We need to Fix → Product Quality → Product Condition to address poor quality product delivery that necessitates immediate replacement or refund",poor quality product delivery that necessitates immediate replacement or refund,The product quality failure directly impacts customer satisfaction and requires immediate resolution to maintain trust and service standards.,"Restore customer trust, ensure product quality standards, and prevent future dissatisfaction.",Agitation,Dissatisfied,Product & Selection,Product Quality,Product Condition,Product Quality → Product Condition,100,100,100
32,32.1,2025-05-06,10:07:38,"Quality of your online service is deteriorating with every single order. There is difference in products displayed on your online portal and what is delivered. Like quantity in a packet، quality indicated. Also quantity ordered, in certain cases we experience restriction on quantity which is understandable. But when there is no bar on quantity on your portal, that quantity need to be delivered. This is grave issue and construe to deception. Despite several verbal complaints to your delivery personal at the time of receiving order. This seriously indicated your lax attitude towards customer satisfaction and your own integrity. As customers we rely on the information on your portal to order and rightly deserve to timely receive exactly what ordered i.e. quality, quantity and price.",Product Information → Product Details,Online Product Listings,Digital Shopping Experience,"Customer reports discrepancies between online product listings and delivered items, including quantity and quality.",Complaint,Anger – Resentful,Digital Engagement,Product Selection & Ordering,when reviewing product details and placing an order,Fix,7,Online Product Listings – Complaint – Fix,"['discrepancies', 'online portal', 'quantity', 'quality', 'deception']","SECTION 1: THE CUSTOMER REALITY
  The customer submitted a Complaint about discrepancies between online product listings and delivered items, including quantity and quality, when reviewing product details and placing an order

  SECTION 2: THE STRATEGIC RESPONSE
  We need to Fix → Product Information → Product Details to address misleading product details that result in incorrect deliveries",misleading product details that result in incorrect deliveries,"This is a direct failure of digital product representation, leading to customer dissatisfaction and trust erosion. Immediate correction is needed to restore accuracy and reliability.","Reinstate trust in online product accuracy, reduce delivery discrepancies, and enhance customer satisfaction with digital orders.",Anger,Resentful,Digital Shopping Experience,Product Information,Product Details,Product Information → Product Details,100,100,100
33,33.1,2025-05-05,10:07:38,there should be chance to include Metro membership card number to online profile to gather or collect poits then to redeam poits lster on,Loyalty Programs → Membership Integration,Metro Membership Card,Loyalty & Engagement,Customer suggests integrating Metro membership card with online profile for point collection and redemption.,Suggestion,Appreciation – Interested,Digital Engagement,Profile Management,while managing online profile,Innovate,3,Metro Membership Card – Suggestion – Innovate,"['membership card', 'online profile', 'collect points', 'redeem points']","SECTION 1: THE CUSTOMER REALITY
  The customer made a Suggestion that while managing their online profile, they wanted the ability to include their Metro membership card number for point collection and redemption.

  SECTION 2: THE STRATEGIC RESPONSE
  We need to Innovate → Loyalty Programs → Membership Integration to address the need for integrating Metro membership card numbers into online profiles for seamless point collection and redemption.",integration of membership card numbers into online profiles for point management,"This suggestion reflects a desire for enhanced digital integration and loyalty program functionality, indicating an opportunity to innovate and improve customer engagement.","Enhance digital loyalty program engagement, streamline point management, and increase customer satisfaction through improved integration.",Appreciation,Interested,Loyalty & Engagement,Loyalty Programs,Membership Integration,Loyalty Programs → Membership Integration,100,100,100
34,34.1,2025-07-04,10:07:38,Deliver time is ok. The riders are polite. What I face when ordering is most of your items are sold out. It wud be appreciated if the stock is filled out as soon as it is finished. At times I have to cancel my order for this reason only.,Product Availability → Out-of-Stock Management,General Inventory,Inventory Management,"Customer frequently encounters out-of-stock items, leading to order cancellations.",Complaint,Agitation – Frustrated,Order Placement,Product Selection,when attempting to add items to cart,Fix,6,General Inventory – Complaint – Fix,"['sold out', 'out-of-stock', 'inventory', 'order cancellation', 'restocking']","SECTION 1: THE CUSTOMER REALITY
  The customer submitted a Complaint about frequently encountering out-of-stock items when attempting to add items to their cart, leading to order cancellations

  SECTION 2: THE STRATEGIC RESPONSE
  We need to Fix → Product Availability → Out-of-Stock Management to address frequent out-of-stock situations that force customers to cancel orders",frequent out-of-stock situations that force customers to cancel orders,This is a critical inventory management failure that directly impacts order completion and customer satisfaction. Immediate resolution is required to prevent order cancellations and maintain customer trust.,"Improve inventory accuracy, reduce order cancellations, and enhance customer satisfaction by ensuring product availability.",Agitation,Frustrated,Inventory Management,Product Availability,Out-of-Stock Management,Product Availability → Out-of-Stock Management,100,100,100
35,35.1,2025-06-04,10:07:38,"riders normally don't have change available, they take extra cash by saying they will adjust it in next order but that never happens since there's a new rider next time, and out of stock item is an issue too",Payment Experience → Cash Handling,Rider Cash Transactions,Payment Integrity,"Riders often lack change, leading to extra cash being taken with promises of adjustment in future orders, which doesn't occur due to different riders.",Complaint,Agitation – Frustrated,Delivery & Fulfillment,Payment Collection,during cash payment at delivery,Fix,6,Rider Cash Transactions – Complaint – Fix,"['no change', 'extra cash', 'adjustment', 'new rider', 'payment issue']","SECTION 1: THE CUSTOMER REALITY
  The customer submitted a Complaint about riders not having change and taking extra cash with promises of future adjustment during cash payment at delivery

  SECTION 2: THE STRATEGIC RESPONSE
  We need to Fix → Payment Experience → Cash Handling to address lack of change during cash payments that results in unreturned extra cash",lack of change during cash payments that results in unreturned extra cash,This is a recurring payment integrity issue that erodes trust and requires immediate resolution to ensure fair transactions.,"Restore payment fairness, enhance rider accountability, and protect customer trust.",Agitation,Frustrated,Payment Integrity,Payment Experience,Cash Handling,Payment Experience → Cash Handling,100,100,100
35,35.2,2025-06-04,10:07:38,"riders normally don't have change available, they take extra cash by saying they will adjust it in next order but that never happens since there's a new rider next time, and out of stock item is an issue too",Product Availability → Out-of-Stock Management,Inventory System,Stock Reliability,Out-of-stock items are a recurring issue affecting order fulfillment.,Complaint,Agitation – Annoyed,Order Fulfillment,Inventory Check,during order fulfillment,Fix,5,Inventory System – Complaint – Fix,"['out of stock', 'inventory', 'order issue']","SECTION 1: THE CUSTOMER REALITY
  The customer submitted a Complaint about recurring out-of-stock items affecting order fulfillment

  SECTION 2: THE STRATEGIC RESPONSE
  We need to Fix → Product Availability → Out-of-Stock Management to address recurring out-of-stock issues that disrupt order fulfillment",recurring out-of-stock issues that disrupt order fulfillment,This is a persistent inventory management failure that impacts customer satisfaction and requires immediate correction to ensure reliable order fulfillment.,"Improve stock accuracy, enhance fulfillment reliability, and reduce customer frustration.",Agitation,Annoyed,Stock Reliability,Product Availability,Out-of-Stock Management,Product Availability → Out-of-Stock Management,100,100,100
36,36.1,2025-05-09,10:07:38,This is the 3rd time in last 15 months I did not get my Order and the team marked Delivered.,Delivery Experience → Order Completion,Order Delivery Confirmation,Delivery Integrity,"Customer did not receive their order, yet it was marked as delivered by the team.",Complaint,Anger – Frustrated,Delivery & Fulfillment,Delivery Completion,when the order was marked as delivered but not received,Fix,7,Order Delivery Confirmation – Complaint – Fix,"['order not received', 'marked delivered', 'delivery failure', 'repeated issue']","SECTION 1: THE CUSTOMER REALITY
  The customer submitted a Complaint about not receiving their order despite it being marked as delivered by the team

  SECTION 2: THE STRATEGIC RESPONSE
  We need to Fix → Delivery Experience → Order Completion to address orders marked as delivered without actual receipt, causing repeated customer frustration","orders marked as delivered without actual receipt, causing repeated customer frustration","This is a critical failure in delivery integrity, leading to repeated customer dissatisfaction and trust erosion. Immediate resolution is required to restore delivery reliability.","Reinstate trust in delivery accuracy, prevent future delivery miscommunications, and reduce customer churn risk.",Anger,Frustrated,Delivery Integrity,Delivery Experience,Order Completion,Delivery Experience → Order Completion,100,100,100
37,37.1,2025-05-25,10:07:38,For vegetables: please confirm before dispatch if it’s not in stock of any item.,Product Availability → Out-of-Stock Management,Vegetables,Inventory Management,Customer requests confirmation before dispatch if any vegetable item is out of stock.,Request,Appreciation – Interested,Order Fulfillment,Pre-Dispatch Confirmation,before dispatch,Innovate,4,Vegetables – Request – Innovate,"['confirm', 'before dispatch', 'out of stock', 'vegetables']","SECTION 1: THE CUSTOMER REALITY
  The customer made a Request that before dispatch, they want confirmation if any vegetable item is out of stock

  SECTION 2: THE STRATEGIC RESPONSE
  We need to Innovate → Product Availability → Out-of-Stock Management to address the need for pre-dispatch confirmation of out-of-stock vegetable items",pre-dispatch confirmation of out-of-stock vegetable items,"The request highlights a gap in the current process where customers are not informed about out-of-stock items before dispatch, indicating a need for innovation in communication and inventory management.",Improve customer satisfaction by ensuring transparency and reducing disappointment from unavailable items.,Appreciation,Interested,Inventory Management,Product Availability,Out-of-Stock Management,Product Availability → Out-of-Stock Management,100,100,100
38,38.1,2025-05-05,10:07:38,I have order 4-5 times in the last 40 days and every time when I get delivery and find out that order is incomplete because items were out of stock and my question is if it’s out of stock why I am able to add them on website you should make them out of stock on the website as well it’s very frustrating,Product Availability → Real-Time Stock Visibility,Website Stock Status,Inventory Integrity,Customer repeatedly experiences incomplete orders due to items being out of stock despite being able to add them to the cart on the website.,Complaint,Agitation – Frustrated,Purchase & Checkout,Cart to Checkout Transition,during the Cart-to-Checkout transition,Fix,6,Website Stock Status – Complaint – Fix,"['out of stock', 'website', 'add to cart', 'incomplete order', 'frustration']","SECTION 1: THE CUSTOMER REALITY
  The customer submitted a Complaint about being able to add out-of-stock items to their cart during the Cart-to-Checkout transition, leading to incomplete orders

  SECTION 2: THE STRATEGIC RESPONSE
  We need to Fix → Product Availability → Real-Time Stock Visibility to address misleading add-to-cart flows that show unavailable items as purchasable",misleading add-to-cart flows that show unavailable items as purchasable,"This is a direct failure of inventory integrity at a critical purchase moment, introducing friction, confusion, and emotional erosion. Fixing this restores purchase reliability and trust.","Reinstate confidence in real-time stock accuracy, reduce failed purchase attempts, and lower cart abandonment at the conversion point.",Agitation,Frustrated,Inventory Integrity,Product Availability,Real-Time Stock Visibility,Product Availability → Real-Time Stock Visibility,100,100,100
39,39.1,2025-06-20,10:07:38,Delivery tracker should be there like Carrefour miss items must describe before delivery,Delivery & Fulfillment → Tracking,Delivery Tracker,Delivery Experience,Customer suggests implementing a delivery tracker and wants missing items to be described before delivery.,Suggestion,Appreciation – Interested,Delivery & Fulfillment,Pre-Delivery Communication,before delivery,Innovate,4,Delivery Tracker – Suggestion – Innovate,"['delivery tracker', 'missing items', 'pre-delivery notification', 'Carrefour']","SECTION 1: THE CUSTOMER REALITY
  The customer made a Suggestion that before delivery, they want a delivery tracker and notification of missing items, similar to Carrefour

  SECTION 2: THE STRATEGIC RESPONSE
  We need to Innovate → Delivery & Fulfillment → Tracking to address the need for a delivery tracker and pre-delivery missing item notifications",lack of a delivery tracker and pre-delivery missing item notifications that enhance delivery transparency,The customer is requesting a new feature that enhances delivery transparency and aligns with competitive offerings.,"Improve delivery transparency, reduce customer uncertainty, and align with competitive standards.",Appreciation,Interested,Delivery Experience,Delivery & Fulfillment,Tracking,Delivery & Fulfillment → Tracking,100,100,100
40,40.1,2025-05-12,10:07:38,Quality is getting poor day by day as now it's 2nd time from my last 3 orders (including meat) I received smelly meat.,Product Quality → Product Safety,Meat,Product Quality,"Customer received smelly meat in 2 out of their last 3 orders, indicating a decline in product quality.",Complaint,Anger – Disappointed,Delivery & Fulfillment,Order Receipt,upon receiving the order,Fix,6,Meat – Complaint – Fix,"['smelly meat', 'poor quality', 'product safety', 'repeated issue']","SECTION 1: THE CUSTOMER REALITY
  The customer submitted a Complaint that upon receiving their order, they found smelly meat in 2 out of their last 3 orders, indicating a decline in product quality

  SECTION 2: THE STRATEGIC RESPONSE
  We need to Fix → Product & Selection → Quality (Product Condition) → Product Safety to address repeated instances of smelly meat that compromise product safety and customer trust",repeated instances of smelly meat that compromise product safety and customer trust,"This is a direct violation of product safety standards, leading to customer dissatisfaction and potential health risks. Immediate action is required to restore quality assurance.","Restore product quality, ensure food safety, and rebuild customer trust.",Anger,Disappointed,Product Quality,Product Quality,Product Safety,Product Quality → Product Safety,100,100,100
41,41.1,2025-05-10,10:07:38,They could have called me for selecting alternate of missing items. Nobody ever contacts in case of missing items or any other issue with the order.,Order Accuracy → Customer Communication,Alternate Item Selection,Order Fulfillment,Customer was not contacted to select alternatives for missing items in their order.,Complaint,Agitation – Frustrated,Order Fulfillment,Order Issue Resolution,when missing items were identified,Fix,6,Alternate Item Selection – Complaint – Fix,"['missing items', 'no contact', 'alternate selection', 'order issue']","SECTION 1: THE CUSTOMER REALITY
  The customer submitted a Complaint about not being contacted to select alternatives for missing items when they were identified

  SECTION 2: THE STRATEGIC RESPONSE
  We need to Fix → Order Accuracy → Customer Communication to address lack of proactive communication for selecting alternatives when items are missing",lack of proactive communication for selecting alternatives when items are missing,"This is a failure in communication protocol during order fulfillment, leading to customer frustration and unmet expectations. Fixing this will enhance customer satisfaction and trust.","Improve customer communication, reduce order fulfillment issues, and enhance overall customer experience.",Agitation,Frustrated,Order Fulfillment,Order Accuracy,Customer Communication,Order Accuracy → Customer Communication,100,100,100
42,42.1,2025-05-05,10:07:38,"After I order online, every time there's a call from metro telling that either products aren't available or the order has been shifted to next day.",Order Fulfillment → Availability & Scheduling,Online Order Notification,Order Management,Customer receives calls post-order indicating product unavailability or delivery rescheduling.,Complaint,Agitation – Frustrated,Order Fulfillment,Post-Order Confirmation,after online order placement,Fix,6,Online Order Notification – Complaint – Fix,"['order', 'unavailable', 'shifted', 'next day', 'call']","SECTION 1: THE CUSTOMER REALITY
  The customer submitted a Complaint about receiving calls post-order indicating product unavailability or delivery rescheduling after online order placement

  SECTION 2: THE STRATEGIC RESPONSE
  We need to Fix → Order Fulfillment → Availability & Scheduling to address unexpected post-order notifications that disrupt delivery expectations",unexpected post-order notifications that disrupt delivery expectations,"This represents a breakdown in order fulfillment communication, causing customer frustration and uncertainty. Immediate resolution is needed to restore trust and reliability in the ordering process.","Improve order fulfillment reliability, reduce customer anxiety, and enhance post-order communication.",Agitation,Frustrated,Order Management,Order Fulfillment,Availability & Scheduling,Order Fulfillment → Availability & Scheduling,100,100,100
43,43.1,2025-07-03,10:07:38,I placed my order and received a call from metro the same night to inform that there came some priority customer and the stock is finished. So I'd not get my order. There was option to hold my order till the next stock comes.,Order Fulfillment → Stock Allocation,Metro Stock Management,Inventory Management,"Customer's order was canceled due to stock being allocated to a priority customer, with no option to hold the order for restocking.",Complaint,Agitation – Frustrated,Order Fulfillment,Post-Order Confirmation,when informed of order cancellation due to stock reallocation,Fix,6,Metro Stock Management – Complaint – Fix,"['order cancellation', 'priority customer', 'stock allocation', 'no hold option']","SECTION 1: THE CUSTOMER REALITY
  The customer submitted a Complaint about their order being canceled due to stock being reallocated to a priority customer, with no option to hold the order for restocking

  SECTION 2: THE STRATEGIC RESPONSE
  We need to Fix → Order Fulfillment → Stock Allocation to address stock reallocation practices that cancel confirmed orders without offering a hold option",stock reallocation practices that cancel confirmed orders without offering a hold option,"This represents a breakdown in order fulfillment integrity, where confirmed orders are canceled without customer recourse, leading to frustration and potential churn.","Restore trust in order fulfillment processes, reduce customer frustration, and improve stock management practices to prevent future cancellations.",Agitation,Frustrated,Inventory Management,Order Fulfillment,Stock Allocation,Order Fulfillment → Stock Allocation,100,100,100
